name,value
OK,OK
AGREE,了承
REFUSE,拒否
CANCEL,キャンセル
SUCCESS,成功
FAIL,失敗
BUY,購入
GOTO,GO
TIME_UNIT_MONTH,月
TIME_UNIT_DAY,日
TIME_UNIT_HOUR,時間
TIME_UNIT_MIN,分
TIME_UNIT_SEC,秒
INPUT_CANNOT_BE_EMPTY,内容を入れてみましょう
STRING_LENGTH_LIMIT,最大{0}文字
GET_CONFIG_FAILD,読み取りに失敗しました
UNABLE_TO_CONNECT_TO_SERVER,サーバーに接続できません
INVALID_TOKEN,無効なログインです
INVALID_ENTRY_ID,無効なサーバーです
SERVER_ERROR,サーバーエラー
INVALID_PARAM,異常発生：お問合せまで
SERVER_IS_FULL,サーバーは満員です
DUPLICATE_NAME,この名前はすでに使用されています
ILLEGAL_NAME_LENGTH,※制限※全角で２～６文字です
ILLEGAL_NAME,認識できない文字が含まれてるようです
PASSPORT_CANT_BE_NULL,アカウントを入力してください
CONFIRM_REPLACE_ARMOR,すでに装備を装着しています。<color=#00ff00>{name}</color>を装着しますか？
USER_LEVEL_INVALID,無効なレベルです
ARMOR_SCORE_FORMAT,装備スコア：{score}
ARMOR_LEVEL_FORMAT,装備レベル：{level}
DUNGEON_WIN_RATE,勝率：{rate}%
DUNGEON_EXP_ADD_RATE,EXP加速ボーナス：{rate}%
SKILL_LOCK,Lv.{level}でスキルが解放
SKILL_CONTINER_LOCK,Lv.{level}でスキルわくが解放
CUR_DUNEGON_IS_LOCK,ロックされています
CUR_MAP_IS_LOCK,ロックされています
BOSS_TIAO_ZHAN,ボスに挑戦
BOSS_SAO_DANG,ボスを掃討
BUY_BOSS_FIGHT_COUNT_COST,本日{0}回目のボス挑戦回数購入には {1}ダイヤ必要です。続けますか？（現在VIP{2}です、本日の残り購入回数は{3}回です）
FAST_FIGHT_COST,クイック放置のたび、2時間分の放置報酬を獲得できます（VIP{0}のため、後{1}回購入可能です）
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,勝率80%以上でボスに挑戦できます
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,ボス挑戦チケットが{0}枚あります。使用しますか？
REACH_USE_MAX_COUNT_TODAY,1日の使用上限に到達しました
IS_FIGHING_BOSS,挑戦中
ALREADY_IN_DUNGEON,放置に戻る
DO_CHANGE_DUNGEON,放置へ
STRENGTH,力
AGILITY,敏捷
INTELLIGENCE,知力
STAMINA,体力
MAX_HP,最大HP
MAX_MP,最大MP
MIN_ATTACK,最小攻撃力
MAX_ATTACK,最大攻撃力
DEFEND,防御力
PHYSC_DEF,物理耐性
MAGIC_DEF,魔法耐性
HIT,命中
DEHIT,回避
CRIT,クリティカル
DECRIT,忍耐力
MP_RECOVER,MP回復
CUR_HP,現在のHP
CUR_MP,現在のMP
ATTACK_ADD,攻撃力がアップ
HP_ADD,HPがアップ
HIT_ADD,命中がアップ
DEFEND_ADD,防御力がアップ
DECRIT_ADD,忍耐力がアップ
DEHIT_ADD,回避がアップ
CRIT_ADD,クリティカル値がアップ
CRIT_DAMAGE_ADD,クリティカルDMGがアップ
DRAIN_HP,HP吸収
DEFEND_IGNORE,防御貫通
PHYSC_DEF_IGNORE,物理耐性貫通
MAGIC_DEF_IGNORE,魔法耐性貫通
PHYSC_DEF_ADD,物理耐性がアップ
MAGIC_DEF_ADD,魔法耐性がアップ
DEBUFF_RESIST,異常耐性
HP_RECOVER,HP回復
BOUNCE_RATE,ダメージ反射
EXP_ADD,経験値獲得
EXP,経験値
VIP_EXP,VIP経験値
COIN_ADD,コインドロップ
COIN,コイン
GOLD,ダイヤ
MEDAL,武勲
FUSION,製錬Pt
ESSENCE,強化エキス
GEM_TICKET,宝石チケット
PRESTIGE,名声
DEBRIS,神魂の欠片
SUMMON_SCORE,召喚Pt
HONOR,栄誉Pt
STAR_STONE,スター
HIGH_QUALITY_RATE,装備ドロップ
ARMOR_ATTR_PART1,<size=30><color=#FFFF00>基礎ステータス：</color></size>
ARMOR_ATTR_PART1_ITEM,<size=25><color=#FFFFFF>{text}</color></size>
ARMOR_ATTR_PART2,<size=30><color=#FFFF00>追加ステータス：</color></size>
ARMOR_ATTR_PART2_ITEM,<size=25><color=#FF882C>{text}</color></size>
ARMOR_ATTR_PART3,<size=30><color=#FF0000>神器ステータス：</color></size>
ARMOR_ATTR_PART3_ITEM,<size=25><color=#FF0000>{text}</color></size>
TIME_SECOND,s
TIME_MINUTE,m
TIME_HOUR,h
STRENGTHEN_LEVEL_MAX,強化レベルがプレイヤーレベルを超えることはできません
