name,value
OK,OK
AGREE,Setuju
REFUSE,Tolak
CANCEL,Membatalkan
SUCCESS,Berhasil
FAIL,Gagal
BUY,Beli
GOTO,Pergi
TIME_UNIT_MONTH,Bulan
TIME_UNIT_DAY,Hari
TIME_UNIT_HOUR,j
TIME_UNIT_MIN,m
TIME_UNIT_SEC,d
INPUT_CANNOT_BE_EMPTY,Tidak boleh kosong
STRING_LENGTH_LIMIT,Maks {0} karakter
GET_CONFIG_FAILD,Gagal membaca konfigurasi
UNABLE_TO_CONNECT_TO_SERVER,Koneksi ke server gagal
INVALID_TOKEN,Kondisi login invalid
INVALID_ENTRY_ID,Server tujuan invalid
SERVER_ERROR,Server mengalami error
INVALID_PARAM,Parameter invalid
SERVER_IS_FULL,Server penuh
DUPLICATE_NAME,Nama sudah terpakai
ILLEGAL_NAME_LENGTH,Panjang nama invalid
ILLEGAL_NAME,Nama mengandung karakter invalid
PASSPORT_CANT_BE_NULL,Akun tidak boleh kosong
CONFIRM_REPLACE_ARMOR,"Kamu sudah mengenakan Equipment, ingin pakai <color=#00ff00>{name}</color>?"
USER_LEVEL_INVALID,Level invalid
ARMOR_SCORE_FORMAT,Skor Equipment: {score}
ARMOR_LEVEL_FORMAT,Lv. Equipment: {level}
DUNGEON_WIN_RATE,Rate Menang: {rate}%
DUNGEON_EXP_ADD_RATE,Bonus EXP: {rate}%
SKILL_LOCK,Skill terbuka di Lv. {level}
SKILL_CONTINER_LOCK,Skill ini terbuka di Lv. {level}
CUR_DUNEGON_IS_LOCK,Dungeon tujuan belum terbuka
CUR_MAP_IS_LOCK,Peta tujuan belum terbuka
BOSS_TIAO_ZHAN,Tantang BOSS
BOSS_SAO_DANG,Sweep BOSS
BUY_BOSS_FIGHT_COUNT_COST,"Membeli jatah Tantang BOSS ke {0} kali akan menggunakan {1} Diamond, lanjutkan? (Kamu adalah VIP {2}, hari ini masih dapat membeli {3} kali)"
FAST_FIGHT_COST,"Melakukan Battle Cepat selama 2 jam akan menggunakan {0} Diamond, lanjutkan? (Kamu adalah VIP {1}, hari ini masih dapat membeli {2} kali)"
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,Rate Menang di atas 80% baru dapat menantang BOSS
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,"Kamu masih memiliki {0} Tiket Tantang BOSS, gunakan?"
REACH_USE_MAX_COUNT_TODAY,Sudah mencapai batas maks pakai harian
IS_FIGHING_BOSS,Sedang Menantang
ALREADY_IN_DUNGEON,Kembali Auto
DO_CHANGE_DUNGEON,Masuk Auto
STRENGTH,STR
AGILITY,AGI
INTELLIGENCE,INT
STAMINA,END
MAX_HP,Max HP
MAX_MP,Max MP
MIN_ATTACK,Min ATK
MAX_ATTACK,Max ATK
DEFEND,DEF
PHYSC_DEF,P.RES
MAGIC_DEF,M.RES
HIT,ACC
DEHIT,EVA
CRIT,Crit
DECRIT,FOR
MP_RECOVER,MP Recovery
CUR_HP,HP Sekarang
CUR_MP,MP Sekarang
ATTACK_ADD,ATK UP
HP_ADD,HP UP
HIT_ADD,ACC UP
DEFEND_ADD,DEF UP
DECRIT_ADD,FOR UP
DEHIT_ADD,EVA UP
CRIT_ADD,Crit UP
CRIT_DAMAGE_ADD,Crit DMG UP
DRAIN_HP,Leech
DEFEND_IGNORE,DEF PEN
PHYSC_DEF_IGNORE,P.PEN
MAGIC_DEF_IGNORE,M. PEN
PHYSC_DEF_ADD,P.RES UP
MAGIC_DEF_ADD,M.RES UP
DEBUFF_RESIST,Debuff RES
HP_RECOVER,Restore HP
BOUNCE_RATE,DMG Reflection
EXP_ADD,EXP Diperoleh
EXP,EXP
VIP_EXP,VIP EXP
COIN_ADD,Koin Terjatuh
COIN,Koin
GOLD,Diamond
MEDAL,Eksploitasi
FUSION,Poin Smelt
ESSENCE,Esensi Enhance
GEM_TICKET,Tiket Gem
PRESTIGE,Prestise
DEBRIS,Kepingan Arwah Suci
SUMMON_SCORE,Poin Summon
HONOR,Poin Honor
STAR_STONE,Batu Bintang
HIGH_QUALITY_RATE,Equipment Terjatuh
ARMOR_ATTR_PART1,<size=30><color=#FFFF00>Atribut Dasar:</color></size>
ARMOR_ATTR_PART1_ITEM,<size=25><color=#FFFFFF>{text}</color></size>
ARMOR_ATTR_PART2,<size=30><color=#FFFF00>Atribut Tambahan:</color></size>
ARMOR_ATTR_PART2_ITEM,<size=25><color=#FF882C>{text}</color></size>
ARMOR_ATTR_PART3,<size=30><color=#FF0000>Atribut Artefak:</color></size>
ARMOR_ATTR_PART3_ITEM,<size=25><color=#FF0000>{text}</color></size>
TIME_SECOND,d
TIME_MINUTE,m
TIME_HOUR,j
STRENGTHEN_LEVEL_MAX,Lv. Enhance tidak dapat melebihi Lv. Hero
CONFIRM_INHERIT_AND_REPLACE_ARMOR,"Konfirmasi Inherit dan ganti dengan <color=#00ff00>{name}</color>? (Inherit Lv. Enhance, Atribut Artefak dan Gem awal Equipment)"
ARMOR_FULL,Equipment sudah penuh
HERO_FULL_IN_BATTLE,Angel yang keluar Battle sudah maks
HERO_IN_ADVENTURE,"Angel sedang dalam Adventure, tidak dapat Battle"
XILIAN_ATRRIBUTE_ONLY_ONE,Equipment kualitas Biru ke bawah tidak dapat Refine
GEM_TICKET_NOT_ENOUGH,Tiket Gem tidak cukup
GEM_SLOT_OPEN_REQUEST,Gunakan {cost} untuk membuka Soket Gem?
BAG_ADD_CAPACITY,"Setiap kali membeli Tas dapat menambah 10 ruang Tas, perlu menggunakan 100 Diamond."
SELL_GOODS,"Daur Ulang 1 Item dapat memperoleh Koin x{price}, atau dapat kamu simpan sebagai kenang-kenangan. Yakin lakukan Daur Ulang?"
GEM_PART,Slot Soket
WIN_RATE_NOT_ENOUGH,Rate Menang tidak cukup
ALREADY_IN_TARGET_DUNGEON,Sudah berada di Dungeon tujuan
ZHU_WU,Senjata Utama
TOU_KUI,Helm
FU_SHOU,Sekunder
XIONG_JIA,Armor
JIE_ZI,Cincin
HU_TUI,Legging
HU_SHOU,Handguard
YAO_DAI,Sabuk
XIANG_LIAN,Kalung
XIE_ZI,Sepatu
SUMMON_REWARD_LEFT,Summon {0} kali pasti dapat
WHITE,Putih
GREEN,Hijau
BLUE,Biru
PURPLE,Ungu
ORANGE,Oranye
RED,Merah
SUMMON_FREE_COUNT,Jatah Gratis ({0}/{1})
SUMMON_BUTTON_LABEL,Summon {0} kali
NOT_ENOUGH,Tidak cukup
BATTLE_REPORT_ENEMY_APPEAR,"Musuh muncul! Lv.{level}, {name}, HP: {hp}"
BATTLE_REPORT_VICTORY,Menang!
BATTLE_REPORT_DEFEAT,Kalah!
BATTLE_REPORT_AWARD,Memperoleh {name} x{count}
BATTLE_REPORT_SEARCH_ENEMY,Sedang menjelajah
BATTLE_REPORT_ROUND_BEGIN,Ronde {count} dimulai
ARENA_TARGET_USER_ERROR,Data pemain target error
ARENA_REPORT_SUBTITLE_1,"Ditantang oleh {0}, Battle {1}. {2}"
ARENA_REPORT_SUBTITLE_2,"Telah menantang {0}, Battle {1}. {2}"
ARENA_RANK,Ranking
CONFIRM_SIGN_UP_HONOR_ARENA,Di babak kualifikasi tidak dapat mengubah Formasi! Yakin mengikuti babak kualifikasi dengan Formasi saat ini?
NOT_CHANGE,Tak berubah
ARENA_SHOP_GOODS_DATA_ERROR,Data Item Error
ARENA_SHOP_GOODS_BUY_COUNT_LIMIT,"Jumlah beli melewati batas, maks 50 item setiap kali beli"
SUCCESS_BUY,Berhasil Beli
REACH_MAX_BAG_ARMOR_CAPACITY,"Equipment sudah mencapai maks, tidak dapat menerima Equipment lagi"
STILL_FIGHT,Terus Battle
LEFT_TIME,Sisa
COST_TIME,Waktu pakai
HERO_STATE_FREE,Idle
HERO_STATE_BATTLE,Deploy
HERO_STATE_ADVENTURE,Sedang Adventure
ADVENTURE_QUEUE_FULL,"Anda telah mencapai jumlah Angel max, tidak dapat melakukan Adventure."
DAILY_ADVENTURE_TIMES_EMPTY,Jatah Adventure hari ini sudah habis dipakai
ADVENTURE_SPEED_CONFIRM,Gunakan {cost} Diamond untuk langsung menyelesaikan Adventure ini?
ADVENTURE_CANCEL_CONFIRM,"Yakin membatalkan Adventure ini? Setelah batal, kamu tidak dapat memperoleh hadiah Adventure"
ARENA_CHALLENGE_REFRESH_SUCC,Daftar Berhasil Refresh
WU_JIANG,Warrior
MOU_SHI,Mage
