hero_cid,story_title,story_content,is_open,voice_lang_key,voice_path
2001,Greek Gods,"Medusa, also called Gorgo, was one of the three monstrous Gorgons, generally described as winged human females with living venomous snakes in place of hair. Those who gazed into her eyes would turn to stone.",1,ABYSS_SHOP_BRANCH_DESC|ABYSS_FIGHT_DESC,mds/hero_mds1|mds/hero_mds2
2002,Greek Gods,"One of the twelve main Goddesses of Olympus, she is the Goddess in charge of the seas. Possessing infinite divine power, she can easily trigger storms and tsunamis, and often launch terrible wars when angered. \nShe is a Goddess that is full of ambition. She, together with Zeus and Hades, ruled the Sea, the Sky, and the Underworld respectively.",1,,
2003,Hebrew Gods,"Joan of Arc was originally only human, but her legendary experiences and faith qualified her for godhood. \n Legend has it that when she was 13 years old, she met the angels Saint Michael, Saint Margaret and Saint Catherine under a large tree behind her village, and thus received a revelation from God. After suffering  unjust judgment, \n she was posthumously canonized as a Saint.",1,,
2004,Greek Gods,"Siren was the daughter of the river god Ekrous, a beautiful fairy born from his blood. Due to her defeat by Muse in a music contest, her wings were removed by Muse, rendering her unable to fly.\nAfter losing her wings, she often transforms into a mermaid and lures nearby sailors to disaster with her enchanting music and singing voice.",1,,
2005,Egyptian Gods,"One of the nine pillar Goddesses of Heliopolis in ancient Egyptian mythology, and possesses  powerful divine powers. She was the daughter of Geb and Nuit and is the guardian deity of Lodgings and Death.\nShe often helped her sister, Isis, the Egyptian Goddess of Life, to raise her offspring, Horus, and saved Horus from danger many times.",1,,
2006,Japanese Gods,"One of the Three Great Goddesses in Japanese mythology. She symbolizes the deification of the moon, the Goddess in charge of the night, and the ruler of the lunar eclipse.\nShe was a compatriot of the Great Goddess Amaterasu, having  assisted her in knowing everything there is in the world. Later, due to an incident, she broke up with Amaterasu, and the Sun and the Moon have been separated ever since.",1,,
2007,Korean Gods,"An important being in ancient Korean mythology, she was favored by the sun god Hwanung and took on a human form. As she had no husband, she prayed to Hwanung again under the sacred sandalwood tree, hoping to be blessed with a child. Impressed by her devotion, Hwanung took her as his wife, and she became the mother of Dangun, the founder of the Korean nation.",1,,
2008,Chinese Gods,"Shennong was China's Goddess in charge of medicine and agriculture, and was revered as one of the three ancient emperors.\nShe tasted all the herbs, taught mankind the art of healing poisons, and helped them overcome diseases; she even invented farming tools, diverted water, planted grains, and helped mankind overcome famine. She was a powerful divinity that symbolizes peace, harvest and wisdom.",1,,
2009,Egyptian Gods,"In ancient Egyptian mythology, Geb was the God of the Earth and one of the nine pillar Goddesses of Heliopolis.\nBecause she was inseparable from her sister Nuit, there was not enough space in the world for living. Thus, her father was ordered by the sun god to separate them.\nGeb was a powerful divinity, and is responsible for imprisoning evil souls to prevent sinners from entering heaven.",1,,
2010,Hebrew Gods,"It is rumored that Lilith was a woman created by God with clay, and Adam's first wife. She was the first woman in the world, and later, she left the Garden of Eden because of a conflict with Adam.\nAfter the famous War of Angels in the Garden of Eden, Lucifer was defeated, and Lilith followed Lucifer as they fell into hell together.",1,,
2011,Egyptian Gods,"Nuit was the Goddess of the Sky, the mother of the stars, the incarnation of the sky, and one of the nine pillar Goddesses of Heliopolis in ancient Egypt.\nNuit was also the God of Death, who provides air, water and food to the undead for their survival in the underworld. Therefore, Nuit was hailed as the Master of Everything.",1,,
2012,Greek Gods,"The Goddeess of Earth in ancient Greek mythology, and the most prominent of all Gods.\nHer divinity was powerful and she occupies a very prominent position in the pantheon. She was the mother of the gods in ancient Greek mythology, and the one who created the primitive gods and the universe. She was the ancestor of all gods and humans.",1,,
2013,Greek Gods,"Pandora was a special being made of clay by the Fire God Hephaestus, and was given to humans as punishment for Prometheus' crime of stealing fire. She has a beautiful appearance and extraordinary charm.\nIn addition, she possesses a magic box gifted by Zeus, which will bring endless disasters to mankind if this box was to be opened.",1,,
2014,Greek Gods,"Nike was the Goddess of Victory in Greek mythology. She assisted Zeus to defeat the Titans and brought victory to the people.\nShe sometimes had wings and amazing speed, but otherwise possesses no other special powers. She was not only a symbol of victory in war, but also a messenger of good fortune.",1,,
2015,Norse Gods,"Idun is the goddess of youth in Nordic mythology and  the embodiment of youth and spring with a mysterious origin. She was responsible for the Golden Apple that keeps the gods youthful.\nIdun was once snatched away by a Giant, which made it impossible for the gods to obtain the apple of youth. When the gods began to age, it caused a huge panic in the gods' world.",1,,
2016,Norse Gods,"The female warriors in Norse mythology who are responsible for the tasks given by Odin. As the guides of heroes who died on the battlefield, they bring the dead into Valhalla, the Hall of Valor.\nThe most famous of them is Brunhild, the daughter of Odin, and her lover is the famous Nordic hero, Ziegrud.",1,,
2017,Hebrew Gods,"Raphael, the famous archangel, was a Dominion of the Second Sphere, the monarch of the Angels of Virtues, the guardian of the Life Tree in the Garden of Eden, and one of the seven angels before the throne of God.\nShe exercised all miracles of healing. In addition to curing people's sufferings, she also taught the knowledge and skills of building the ark to Noah's family.",1,,
2018,Greek Gods,"Minotaur was a character in ancient Greek mythology. Because of the curse from the sea god Poseidon, she became the first-born monster with two horns.\nShe was powerful and guards the underground maze built by Daedalus. Everyone who walks into the maze will be attacked mercilessly.",1,,
