cid,type,unlock_need_goods_count,unlock_favor,str_initial,agi_initial,int_initial,sta_initial,race,name,age,story_content,dialog
1,0,0,50,1000,1000,1000,1000,半人马,伊薇特,350,				伊薇特是最早一批从沉睡中醒来的半人马贤者，也是最早发现晶石矿在建筑上能发挥奇特功效的幻兽。她非常熟悉大自然，能够根据丰富的经验和对大地魔法的掌控，让泉水中所产的晶石矿藏更为富饶。她很反感战争，但并不意味着自己不善于战斗，不过她还是很庆幸幻兽们能享受难得的和平。,你能穿越结界来到这里，必是神明的恩惠，愿我们的情谊永在。
2,0,0,150,1300,800,900,1000,狼人,芬妮尔,180,芬妮尔性格虽然看上去粗枝大叶，但对钻石这种艺术品的熟悉程度却远超其他人，她总能找到更好的钻石矿。除了精于寻找矿脉外，她还很擅长于钻石的切割与制作，尤其是使用自己锐利的爪子进行这项工作时。她沿用了北欧先祖的名号，是个不折不扣的好战分子，同时，她也是个容易满足于酒宴和派对的家伙。,看在你给我提供美味肉排的份上，我就帮你运营钻石工坊吧！
3,0,0,300,900,900,1300,900,不死鸟,妮菲塔丽,？？？,作为不死鸟的家族成员之一，妮菲塔莉是少有的不畏惧火焰的种族。正是因为这种能力，只有她能从火山口炽热的熔岩中提炼出额外的强化精华，她也一直以此为傲。虽然看上去很年幼，但没人知道她活了多久，据说她大部分时间都在沉睡，所以心理年龄更像孩子。,那座火山确实让我感觉不错，顺便帮你管理熔岩池也没问题啦！
4,0,0,500,800,1200,1000,1000,九尾狐,雪樱,3600,只有雪樱这样已经生存了几千年的妖怪，才能运用不为人知的炼金技巧，从普通矿石中精炼出宝石。作为高贵的九尾狐一族，雪樱并不在意自己的身份，她很乐意看到自己的成果得到认可，并派上用场。和其他热衷于战争的族人不同，雪樱对战争很反感，她会毫不犹豫地与追求和平的人达成同盟。,看来还是只有我这样出色的炼金术士，才配得上您的野心呢。
5,0,0,1000,1000,900,700,1400,北海巨妖,艾琳诺,？？？,艾琳诺本身就拥有接近神明的可怕力量，正是这一点让她能够做到很多神明都无法企及的事。例如，她可以通过强大的魔力，向更高位的神明祈祷，从而创造出无比珍贵的神核。艾琳诺虽然出身于黑暗无比的深渊，但对任何人都非常温柔，有着大姐姐一般的成熟魅力。,啊啦，看你如此诚心地请我帮你忙，我可就不好意思拒绝了呢……
6,0,0,1000,1000,950,1200,850,月兔,熙玉,1200,熙玉原本是月宫所有的兔子总管，嫦娥对她青睐有加，所以赋予了她过人的智慧和精巧的手艺。嫦娥很喜欢美丽而价值连城的宝石，所以她也就理所当然地成为了月宫里技巧最高的宝石匠。嫦娥离开月宫后，熙玉曾经想通过传送门寻找，但不知为何传送门连接到了幻兽之森……,那个……看在你对我这么关心的份上，在回到嫦娥姐姐身边之前，我就接受你做我的主人吧。
7,0,0,1500,1100,750,750,1400,米诺陶洛斯,悠妮丝,26,没人知道悠妮丝究竟在混沌外域的迷宫里呆了多久，但从她对迷宫了如指掌的熟悉程度来看，时间恐怕不会短。只有米诺陶洛斯一族才能在深邃的迷宫里搜寻宝藏而不迷路，探险本领上悠妮丝更是同族中的精英。她天赋禀异，是唯一能凭借良好的方向感和敏锐的洞察力，找到隐藏在迷宫深处钻石矿脉的幻兽。,在过去一段时间里，悠妮丝受了不少照顾呢……那个……如果可以的话……您愿意和我订下契约吗……？
8,1001,100,0,1100,1200,1400,1100,元素精灵,希尔芙,？？？,她是自然界四大元素中象征“飘渺之风”的精灵，一切花丛、草原等季风时常吹拂的地方，都会有她的身影。她性格活泼而自我，对文明社会中没有接触过的人和事都怀有非常重的好奇心，但也常常因此而惹出事端。她与天空的连接非常紧密，很多传闻中风精灵是神明与人类之间传递神谕的使者。,哼哼！人类，看来你的运气不错呢！召唤伟大的风之精灵希尔弗有什么事吗？
9,1001,100,0,1100,1400,1100,1200,元素精灵,温蒂妮,？？？,她是自然界四大元素中象征“宁静之水”的精灵，在经过祝祷的神圣泉水中，往往会见到她的诞生。她拥有着同族中最高的智慧和最冷静的性格，再大的麻烦对于她来说也不过是能够轻松解决的小事罢了。水元素的力量让她非常熟悉晶石的开发过程。此外，她还能为战场上的女神同伴提供强大的生命魔法支持。,幸会，吾乃水之精灵温蒂妮，遵从命运而被召唤而来。希望宁静之水能够给你带来众神的慈爱与恩惠。
10,1001,100,0,1200,1100,1100,1400,元素精灵,幻兽诺姆,？？？,她是自然界四大元素中象征“永恒之土”的精灵，一切山脉、土壤以及森林中都可能诞生她。她性格稳重、成熟而有魅力，平时会很友善且平和地对待其他种族，但这并不意味着她们对战斗的技巧一无所知。由于对土壤的了解和亲和度非常高，她能够轻易找到宝石矿脉的所在，也能够为同伴们提供优秀的防护魔法。,哟……幸会，旅行者，感谢众神指引我们命运的交汇，愿大地之灵赐予您胜利与荣耀。
11,1001,100,0,1400,1200,1100,1100,元素精灵,沙拉曼妲,？？？,她是自然界四大元素中象征“炽烈之火”的精灵，火山、熔岩池是她最常诞生的地方，但据说她也会从壁炉中出现。相对于冷静地思考解决问题的方法，她更倾向于用直白、单纯的手段——如果暴力能解决问题的话。她擅长从熔岩池中提炼出强化精华。同时她也擅长于将自身源于火焰的愤怒转化为能量，提供给战场上的众神。,啊啦？没想到区区人类……竟然敢召唤我这位象征大自然愤怒的火元素精灵，挺有胆量的嘛……
12,1002,120,0,1100,1150,1400,1150,诸神黄昏(幻兽),哈提&斯库尔,？？？,哈提和斯库尔是巨狼族首领的两个女儿，也是一对双生子。她们从出生之时起，就在进行着最残酷的试炼——追逐太阳和月亮，吸收日之力和月之力，强化自身力量，从而成为族群里最巅峰的强者。而哈提和斯库尔也不负众望，她们天赋异禀，在年复一年的试炼当中，实力飞速成长，已然成为种族中的佼佼者。,哈提：我追逐了那么多年的月亮，但直到今天，哈提才追逐到了自己真正的主人。\n斯库尔：以后，你就是我的主人，我心目中真正的太阳！
13,1002,120,0,1100,1400,1150,1150,诸神黄昏(幻兽),尼德霍格,？？？,尼德霍格是黑龙一族的女王，她们一族从古至今生活在世界树的树下，以世界树的根部和枝叶为食。但随着世界树的养分被不断吸食，这颗大树也面临着枯萎和倒塌的危险。为了救治世界树，保护族人赖以生存的依靠，尼德霍格穿越异世界，来到了幻兽之森。据说在这里，可以找到治好世界树的神药。,做为黑龙一族的女王，我一直是族人们的依靠！但从今以后，我也有了自己可以依靠的主人。
14,1002,120,0,1400,1150,1100,1150,诸神黄昏(幻兽),耶梦加得,？？？,相传，生活在无底深海中的尘世巨蟒一族，都是寄生于黑暗中的存在。但耶梦加得却不同，相比于黑暗，她却更向往光明。因此，在她成年之后，她便离开了深海，决心游历尘世，结交各族朋友，度过一个不一样的人生。,离开深海，来到尘世是我所做出的最正确的决心。因为，我在尘世间遇到了你——我最重要的主人！
15,0,0,1500,1100,800,800,1300,神圣之鹿,菲奈特,400,麋鹿诞生自爱尔兰荒凉的苔原上，她最初只是一个流浪在荒原上的小鹿，因为保护同伴不被人类偷猎而牺牲。圣诞女神在经过苔原时，发现了她，感叹于她的牺牲和勇气，于是将自己的神格分享给了这头小鹿，令她复活，并得到了一幅少女的美貌，让她为自己驱使雪橇。,又见面了，今后，你就是我的主人了。快坐上来，让我用雪橇，载着你周游世界吧。
16,1003,120,0,1200,1200,1100,1300,独角兽,伊娃,400,伊娃诞生自群星之间的虚幻花园，在一颗流星的包裹下，坠落在了这个世界。她固执地认为，在未来的某刻，日月将会颠倒，群星陷入混乱，而只有人类才有能力扭转这一危机。她懂得如何通过星星的移动预知未来，她的预言中，有位来自另外一片星空的天命之人将会拯救这个世界，而伊娃则一直在等待此人的到来。,星辰指引着我来到你身边，愿命运赐予你勇气与信念。
17,1003,120,0,1200,1150,1300,1150,羽蛇,凡蒂丝,400,据说羽蛇是太阳的后代，身上永远保留着神性，因此，羽蛇世世代代都被训练成为太阳的祭司。凡蒂丝也是如此，她居住在被遗忘的古老庙宇，虽然早已无人参拜，但她依旧相信祷告能让这个世界风调雨顺。直到某天，在她祷告时，冥冥之中的声音在她耳边响起：一位带着重要使命的人类将会出现……,我因听见你的祈祷而降临，愿太阳的恩赐与我的祝福常伴于你身边。
