name,value
OK,確認
AGREE,同意
REFUSE,拒絕
CANCEL,取消
SUCCESS,成功
FAIL,失敗
BUY,購買
GOTO,前往
TIME_UNIT_MONTH,月
TIME_UNIT_DAY,天
TIME_UNIT_HOUR,小時
TIME_UNIT_MIN,分鐘
TIME_UNIT_SEC,秒
INPUT_CANNOT_BE_EMPTY,輸入不能為空
STRING_LENGTH_LIMIT,文字上限{0}字
GET_CONFIG_FAILD,讀取配置失敗
UNABLE_TO_CONNECT_TO_SERVER,無法連接到伺服器
INVALID_TOKEN,無效的登錄狀態
INVALID_ENTRY_ID,無效的目標伺服器
SERVER_ERROR,伺服器出錯了
INVALID_PARAM,參數無效
SERVER_IS_FULL,伺服器已滿
DUPLICATE_NAME,名字重複
ILLEGAL_NAME_LENGTH,名字長度不合法
ILLEGAL_NAME,名字包含無效字元
PASSPORT_CANT_BE_NULL,帳號不能為空
CONFIRM_REPLACE_ARMOR,身上已經穿戴了一件裝備，要戴上<color=#00ff00>{name}</color>嗎？
USER_LEVEL_INVALID,等級不合法
ARMOR_SCORE_FORMAT,裝備評分：{score}
ARMOR_LEVEL_FORMAT,裝備等級：{level}
DUNGEON_WIN_RATE,當前勝率：{rate}%
DUNGEON_EXP_ADD_RATE,經驗加成：{rate}%
SKILL_LOCK,該技能{level}級開放
SKILL_CONTINER_LOCK,該技能槽{level}級開放
CUR_DUNEGON_IS_LOCK,目標副本還未解鎖
CUR_MAP_IS_LOCK,目標地圖還未解鎖
BOSS_TIAO_ZHAN,BOSS挑戰
BOSS_SAO_DANG,BOSS掃蕩
BUY_BOSS_FIGHT_COUNT_COST,今天第{0}次購買挑戰BOSS次數將消花費 {1}鑽石，確定繼續嗎？(您是VIP{2}，今天還可以購買{3}次)
FAST_FIGHT_COST,每次快速掛機立即獲得2小時掛機收益(您是VIP{0}，今天一共可以購買{1}次)
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,勝率80%以上才能挑戰BOSS
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,您還有{0}張BOSS挑戰券，是否使用？
REACH_USE_MAX_COUNT_TODAY,達到每日使用次數上限
IS_FIGHING_BOSS,挑戰中
ALREADY_IN_DUNGEON,返回掛機
DO_CHANGE_DUNGEON,進入掛機
STRENGTH,力量
AGILITY,敏捷
INTELLIGENCE,智力
STAMINA,耐力
MAX_HP,最大生命
MAX_MP,最大魔法
MIN_ATTACK,最小攻擊
MAX_ATTACK,最大攻擊
DEFEND,防禦力
