name,value
OK,ยืนยัน
AGREE,ตกลง
REFUSE,ปฎิเสธ
CANCEL,ยกเลิก
SUCCESS,สำเร็จ
FAIL,แพ้
BUY,ซื้อ
GOTO,ไป
TIME_UNIT_MONTH,เดือน
TIME_UNIT_DAY,วัน
TIME_UNIT_HOUR,ชม.
TIME_UNIT_MIN,น.
TIME_UNIT_SEC,วิ
INPUT_CANNOT_BE_EMPTY,ห้ามเว้นว่าง
STRING_LENGTH_LIMIT,สูงสุด{0}ตัวอักษร
GET_CONFIG_FAILD,ล้มเหลวในการอ่านค่า
UNABLE_TO_CONNECT_TO_SERVER,เชื่อมต่อเซิร์ฟเวอร์ล้มเหลว
INVALID_TOKEN,สถานล็อกอินไม่ถูกต้อง
INVALID_ENTRY_ID,เซิร์ฟเวอร์เป้าหมายไม่ถูกต้อง
SERVER_ERROR,เซิร์ฟเวอร์พบกับข้อผิดพลาด
INVALID_PARAM,ค่าพารามิเตอร์ไม่ถูกต้อง
SERVER_IS_FULL,เซิร์ฟเวอร์เต็ม
DUPLICATE_NAME,ชื่อซ้ำ
ILLEGAL_NAME_LENGTH,ความยาวชื่อไม่ถูกต้อง
ILLEGAL_NAME,ชื่อมีตัวอักษรไม่ถูกต้อง
PASSPORT_CANT_BE_NULL,ชื่อบัญชีไม่อาจว่างได้
CONFIRM_REPLACE_ARMOR,เจ้าได้สวมอุปกรณ์หนึ่งชิ้นแล้วเจ้าต้องการสวมใส่<color=#00ff00>{name}</color>ไหม?
USER_LEVEL_INVALID,เลเวลไม่ถูกต้อง
ARMOR_SCORE_FORMAT,พลังสวมใส่:{score}
ARMOR_LEVEL_FORMAT,Lv.สวมใส่:{level}
DUNGEON_WIN_RATE,อัตราชนะ:{rate}%
DUNGEON_EXP_ADD_RATE,โบนัสEXP:{rate}%
SKILL_LOCK,สกิลนี้ปลดล็อกที่Lv.{level}
SKILL_CONTINER_LOCK,ปลดล็อกที่Lv.{level}
CUR_DUNEGON_IS_LOCK,ดันเจี้ยนเป้าหมายถูกล็อก
CUR_MAP_IS_LOCK,แผนที่เป้าหมายถูกล็อก
BOSS_TIAO_ZHAN,ท้าดวลบอส
BOSS_SAO_DANG,กวาดล้างบอส
BUY_BOSS_FIGHT_COUNT_COST,ซื้อการท้าดวลบอสเพิ่ม{0}ครั้งราคา{1}เพชร?(ตอนนี้คุณVIP{2}แล้วและสามารถซื้อเพิ่มได้อีก{3}ครั้งในวันนี้)
FAST_FIGHT_COST,ต่อสู้ด่วนเป็นเวลา2ชั่วโมงโดยใช้{0}เพชรยืนยันการใช้ไหม?(ตอนนี้คุณVIP{2}แล้วและสามารถซื้อเพิ่มได้อีก{2}ครั้งในวันนี้)
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,ได้รับอัตราชนะมากกว่า80%ในการท้าดวลบอส
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,เจ้ายังมี{0}ม้วนท้าดวลบอสเจ้าอยากใช้ไหม?
REACH_USE_MAX_COUNT_TODAY,สิทธิ์การใช้ประจำวันสูงสุดแล้ว
IS_FIGHING_BOSS,กำลังท้าดวล
ALREADY_IN_DUNGEON,ย้อนกลับออโต้
DO_CHANGE_DUNGEON,เข้าสู้ออโต้
STRENGTH,STR
AGILITY,AGI
INTELLIGENCE,INT
STAMINA,EDR
MAX_HP,MaxHP
MAX_MP,MaxMP
